machine,CPU,GPU,python,platform,bench,model,gpu,wall_min_s,wall_med_s,wall_max_s,tok_min_s,tok_med_s,tok_max_s,seed,timestamp
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,phi3:3.8b,True,6.37,6.45,14.81,133.99,136.25,136.62,42,2025-07-23T21:08:10
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,phi3:3.8b,False,31.59,34.68,34.70,21.43,21.44,21.55,42,2025-07-23T21:09:52
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,qwen3:4b,True,13.93,14.19,19.01,105.24,106.41,107.55,42,2025-07-23T21:10:39
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,qwen3:4b,False,92.86,92.92,142.73,12.89,13.18,13.19,42,2025-07-23T21:16:08
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,qwen3:14b,True,26.28,26.34,29.25,40.56,40.74,40.75,42,2025-07-23T21:17:30
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,qwen3:14b,False,232.64,232.64,258.10,4.85,4.85,4.85,42,2025-07-23T21:29:34
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,gemma3:4b,True,5.55,5.55,7.44,108.46,109.05,109.22,42,2025-07-23T21:29:53
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,gemma3:4b,False,26.23,27.92,28.35,18.41,18.60,18.74,42,2025-07-23T21:31:16
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,gemma3:12b,True,11.89,11.91,13.64,44.15,44.31,44.51,42,2025-07-23T21:31:54
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,gemma3:12b,False,63.53,64.72,66.10,6.63,6.75,6.76,42,2025-07-23T21:35:09
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,gemma3n:e2b,True,6.29,6.31,9.13,48.85,49.05,49.06,42,2025-07-23T21:35:31
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,gemma3n:e2b,False,11.77,11.77,13.48,27.46,27.65,27.67,42,2025-07-23T21:36:08
