run_id,machine,CPU,GPU,python,platform,bench,version,model,gpu_used,wall_min_s,wall_med_s,wall_max_s,tok_min_s,tok_med_s,tok_max_s,seed,timestamp,reference
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,phi3:3.8b,True,6.37,6.45,14.81,133.99,136.25,136.62,42,2025-07-23T21:08:10,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,phi3:3.8b,False,31.59,34.68,34.70,21.43,21.44,21.55,42,2025-07-23T21:09:52,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,qwen3:4b,True,13.93,14.19,19.01,105.24,106.41,107.55,42,2025-07-23T21:10:39,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,qwen3:4b,False,92.86,92.92,142.73,12.89,13.18,13.19,42,2025-07-23T21:16:08,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,qwen3:14b,True,26.28,26.34,29.25,40.56,40.74,40.75,42,2025-07-23T21:17:30,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,qwen3:14b,False,232.64,232.64,258.10,4.85,4.85,4.85,42,2025-07-23T21:29:34,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,gemma3:4b,True,5.55,5.55,7.44,108.46,109.05,109.22,42,2025-07-23T21:29:53,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,gemma3:4b,False,26.23,27.92,28.35,18.41,18.60,18.74,42,2025-07-23T21:31:16,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,gemma3:12b,True,11.89,11.91,13.64,44.15,44.31,44.51,42,2025-07-23T21:31:54,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,gemma3:12b,False,63.53,64.72,66.10,6.63,6.75,6.76,42,2025-07-23T21:35:09,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,gemma3n:e2b,True,6.29,6.31,9.13,48.85,49.05,49.06,42,2025-07-23T21:35:31,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,gemma3n:e2b,False,11.77,11.77,13.48,27.46,27.65,27.67,42,2025-07-23T21:36:08,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,deepseek-r1:8b,True,19.29,20.58,20.58,67.25,67.28,67.45,42,2025-07-23T21:37:09,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,deepseek-r1:8b,False,111.03,111.16,161.64,8.36,8.57,8.58,42,2025-07-23T21:43:33,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,deepseek-r1:14b,True,15.93,16.02,23.60,39.58,39.83,39.86,42,2025-07-23T21:44:29,True
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,ollama,0.9.6,deepseek-r1:14b,False,94.89,94.93,128.77,5.86,5.89,5.89,42,2025-07-23T21:49:48,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,phi3:3.8b,True,16.83,16.85,25.75,37.95,38.54,38.69,42,2025-07-24T06:55:41,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,phi3:3.8b,False,58.86,81.91,83.21,11.16,11.34,11.35,42,2025-07-24T06:59:25,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,qwen3:4b,True,60.96,61.38,61.43,22.96,23.10,23.67,42,2025-07-24T07:02:31,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,qwen3:4b,False,188.92,191.80,191.98,7.18,7.25,7.30,42,2025-07-24T07:12:36,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,qwen3:14b,True,355.40,396.04,397.49,3.72,3.73,3.78,42,2025-07-24T07:31:45,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,qwen3:14b,False,402.11,403.33,522.01,2.78,2.83,2.84,42,2025-07-24T07:53:53,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,ollama,0.9.6,gemma3:4b,True,26.94,26.97,34.40,20.44,20.50,20.52,42,2025-07-24T07:55:22,True
