machine,CPU,GPU,python,platform,bench,dataset_rows,gpu,train_median_s,infer_median_s,auc,seed,timestamp
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,100000,True,0.80,0.01,0.81023,42,2025-07-23T21:02:39
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,100000,False,0.59,0.01,0.81072,42,2025-07-23T21:02:43
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,1000000,True,1.60,0.01,0.82277,42,2025-07-23T21:02:54
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,1000000,False,3.99,0.10,0.82276,42,2025-07-23T21:03:11
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,full,True,9.93,0.06,0.82486,42,2025-07-23T21:04:25
PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,full,False,50.37,1.04,0.82495,42,2025-07-23T21:07:42
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,xgboost,100000,True,1.66,0.01,0.80975,42,2025-07-23T23:13:28
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,xgboost,100000,False,1.79,0.03,0.80892,42,2025-07-23T23:13:36
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,xgboost,1000000,True,5.80,0.04,0.82262,42,2025-07-23T23:14:04
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,xgboost,1000000,False,13.69,0.32,0.82227,42,2025-07-23T23:14:57
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,xgboost,full,True,45.20,0.38,0.82495,42,2025-07-23T23:18:54
PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,xgboost,full,False,147.38,3.46,0.82489,42,2025-07-23T23:28:06
