run_id,machine,CPU,GPU,python,platform,bench,version,dataset_rows,gpu_used,train_median_s,infer_median_s,auc,seed,timestamp,reference
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,3.0.3,100000,True,0.8,0.01,0.81023,42,2025-07-23T21:02:39,False
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,3.0.3,100000,False,0.59,0.01,0.81072,42,2025-07-23T21:02:43,False
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,3.0.3,1000000,True,1.6,0.01,0.82277,42,2025-07-23T21:02:54,False
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,3.0.3,1000000,False,3.99,0.1,0.82276,42,2025-07-23T21:03:11,False
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,3.0.3,full,True,9.93,0.06,0.82486,42,2025-07-23T21:04:25,False
REF_1,PC_AL_2025,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,3.0.3,full,False,50.37,1.04,0.82495,42,2025-07-23T21:07:42,False
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,xgboost,3.0.3,100000,True,1.66,0.01,0.80975,42,2025-07-23T23:13:28,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,xgboost,3.0.3,100000,False,1.79,0.03,0.80892,42,2025-07-23T23:13:36,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,xgboost,3.0.3,1000000,True,5.8,0.04,0.82262,42,2025-07-23T23:14:04,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,xgboost,3.0.3,1000000,False,13.69,0.32,0.82227,42,2025-07-23T23:14:57,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,xgboost,3.0.3,full,True,45.2,0.38,0.82495,42,2025-07-23T23:18:54,True
REF_2,PC_AL_2015,Intel i5-4690K,Nvidia GTX 1060 6GB,3.13.5,Windows-10-10.0.19045-SP0,xgboost,3.0.3,full,False,147.38,3.46,0.82489,42,2025-07-23T23:28:06,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,xgboost,3.0.3,100000,True,0.88,0.01,0.81023,42,2025-07-26T12:04:36,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,xgboost,3.0.3,100000,False,1.66,0.01,0.80963,42,2025-07-26T12:04:42,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,xgboost,3.0.3,1000000,True,1.15,0.01,0.82277,42,2025-07-26T12:04:51,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,xgboost,3.0.3,1000000,False,1.67,0.06,0.82306,42,2025-07-26T12:05:03,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,xgboost,3.0.3,full,True,5.42,0.03,0.82486,42,2025-07-26T12:06:10,True
REF_3,Mark1,AMD Ryzen 7 9800X3D,Nvidia GTX 4080 SUPER,3.13.5,Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39,xgboost,3.0.3,full,False,31.07,0.62,0.82495,42,2025-07-26T12:08:42,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,3.0.4,100000,True,0.75,0.01,0.81023,42,2025-08-29T19:50:06,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,3.0.4,100000,False,0.55,0.01,0.81072,42,2025-08-29T19:50:09,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,3.0.4,1000000,True,1.46,0.01,0.82277,42,2025-08-29T19:50:18,True
REF_4,PC_AL_2025 - v2,AMD Ryzen 5 9600X,Nvidia RTX 5060 Ti 16GB,3.13.5,Windows-11-10.0.26100-SP0,xgboost,3.0.4,1000000,False,3.63,0.1,0.82276,42,2025-08-29T19:50:34,True
